assessment_type,original_path,patched_path,original_complexity,patched_complexity,complexity_change,original_functions,patched_functions,function_change,original_sloc,patched_sloc,sloc_change,similarity_percent,maintainability_change,cppcheck_change,structural_score,quality_score,original_elapsed,patched_elapsed,original_cpu_total,patched_cpu_total,original_memory_kb,patched_memory_kb,original_binary_bytes,patched_binary_bytes,original_exit_status,patched_exit_status,elapsed_change_percent,cpu_change_percent,memory_change_percent,binary_change_percent,exit_status_changed,dynamic_score,grade,risk_level
source_pair,"/home/nasos/PatchImpactResults/work_berry_3/fixed_be_parser.c","/home/nasos/PatchImpactResults/work_berry_3/buggy_be_parser.c",246,246,0,92,92,0,1437,1436,-1,99.8467,0,-1,99.9693,100,,,,,,,,,,,,,,,,,,,
source_pair,"/home/nasos/PatchImpactResults/work_berry_3/buggy_be_parser.c","/home/nasos/PatchImpactResults/work_berry_3/fixed_be_parser.c",246,246,0,92,92,0,1436,1437,1,99.8467,0,1,99.9554,95,,,,,,,,,,,,,,,,,,,
