assessment_type,original_path,patched_path,original_complexity,patched_complexity,complexity_change,original_functions,patched_functions,function_change,original_sloc,patched_sloc,sloc_change,similarity_percent,maintainability_change,cppcheck_change,structural_score,quality_score,original_elapsed,patched_elapsed,original_cpu_total,patched_cpu_total,original_memory_kb,patched_memory_kb,original_binary_bytes,patched_binary_bytes,original_exit_status,patched_exit_status,elapsed_change_percent,cpu_change_percent,memory_change_percent,binary_change_percent,exit_status_changed,dynamic_score,grade,risk_level
source_pair,"/home/nasos/PatchImpactResults/work_coreutils_1/fixed_split.c","/home/nasos/PatchImpactResults/work_coreutils_1/buggy_split.c",277,278,1,17,17,0,1260,1260,0,99.9446,0,0,99.8445,100,,,,,,,,,,,,,,,,,,,
source_pair,"/home/nasos/PatchImpactResults/work_coreutils_1/buggy_split.c","/home/nasos/PatchImpactResults/work_coreutils_1/fixed_split.c",278,277,-1,17,17,0,1260,1260,0,99.9446,0,0,99.9889,100,,,,,,,,,,,,,,,,,,,
